==========================================
STORM MONITOR - Auto-Shutdown on High PPS
==========================================
Target Container: nop-custom-web
Target Port: 80
PPS Threshold: 2000
Monitoring Interface: any
Sample Interval: 1s
Log File: /workspaces/NOP/scripts/storm_monitor_20251230_185026.log
Started: Tue Dec 30 18:50:26 UTC 2025
==========================================

📍 Container IP: 172.19.0.5

🔧 Installing tcpdump in container...
OCI runtime exec failed: exec failed: unable to start container process: exec: "bash": executable file not found in $PATH: unknown
✓ tcpdump ready

🔍 Starting packet monitoring...
⚠️  Will shutdown port 80 when PPS exceeds 2000
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

[18:52:07] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 101s
[18:52:07] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 101s
[18:52:08] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 102s
[18:52:08] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 102s
[18:52:09] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 103s
[18:52:10] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 103s
[18:52:10] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 104s
[18:52:11] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 105s
[18:52:11] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 105s
[18:52:12] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 106s
[18:52:12] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 106s
